"id","ref_id","technology","hierarchy","specification","structure_id","owner","remediation","remediation_specification","remediation_desc","full_name","node_code","cascade","forward_attenuator","forward_equaliser","return_attenuator","return_equaliser","ac_voltage","free_tap_ports","signal_level_code","connected_rf_combiner_code","connected_exchange_code","connected_cmts_code","object_status","NBP_flag","asset_transfer"
"3NES-68-01-PCD-1164","","COAXIAL","PCD","VIRTUAL","000000015011485249","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1079","","COAXIAL","PCD","VIRTUAL","000000000200182179","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1074","","COAXIAL","PCD","VIRTUAL","000000000200182176","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1073","","COAXIAL","PCD","VIRTUAL","000000000200182173","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1075","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0144","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1076","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0243","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1077","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0244","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1078","","COAXIAL","PCD","VIRTUAL","3NES-68-01-VSP-0245","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1165","","COAXIAL","PCD","VIRTUAL","3NES-68-01-NEC-063","NBN","","","","","WESS WE59","","","","","",0.000,0,"","","","","CONSTRUCTED","N","Y"
"3NES-68-01-PCD-1176","","COAXIAL","PCD","VIRTUAL","000000015011469563","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1174","","COAXIAL","PCD","VIRTUAL","000000015011469564","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
"3NES-68-01-PCD-1163","","COAXIAL","PCD","VIRTUAL","000000015011485038","TELSTRA","","","","","WESS WE59","","","","","",0.000,0,"","","","","EXISTING","N","Y"
