"id","ref_id","additional_id","segment_number","technology","hierarchy","length","specification","start_equipment_id","end_equipment_id","core_count","designation","start_structure_id","end_structure_id","object_status","owner","placement_type","start_equipment_port_id","end_equipment_port_id","remediation","remediation_specification","remediation_desc","leadin_cable_transfer","asset_transfer"
"000000004223837213","","",1,"COPPER","CSS",13.7,"Cu 2/0.40, PEILI, PE","000000015020712493","",2,"WESS P81:O78","000000012502236946","000000004223837076","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223837398","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015020712491","",2,"WESS P81:O77","000000012502236946","000000004223837264","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223846689","","",1,"COPPER","CSS",12.8,"Cu 2/0.40, PEILI, PE","000000004223290636","",2,"","000000000200398518","000000004223846543","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223846876","","",1,"COPPER","CSS",13.5,"Cu 2/0.40, PEILI, PE","000000004223290636","",2,"WESS P128:O50","000000000200398518","000000004223846735","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223847065","","",1,"COPPER","CSS",13.5,"Cu 2/0.40, PEILI, PE","000000004223290705","",2,"WESS P128:O44","000000000200398587","000000004223846924","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223847263","","",1,"COPPER","CSS",12.8,"Cu 2/0.40, PEILI, PE","000000004223290705","",2,"WESS P128:O43","000000000200398587","000000004223847113","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223847731","","",1,"COPPER","CSS",24.8,"Cu 2/0.40, PEILI, PE","000000015020712747","",2,"WESS P128:O42","000000012503608127","000000004223847309","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223848026","","",1,"COPPER","CSS",11.8,"Cu 2/0.40, PEILI, PE","000000015020708411","",2,"WESS P131:O185","000000000200086351","000000004223847880","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223848216","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000015009394628","",2,"WESS P131:O149-150","000000000200086766","000000004223848077","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223848406","","",1,"COPPER","CSS",12.8,"Cu 2/0.40, PEILI, PE","000000004223208399","",2,"WESS P131:O184","000000000200086353","000000004223848270","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223848589","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223208444","",2,"WESS P131:O162","000000000200086361","000000004223848450","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223848774","","",1,"COPPER","CSS",12.2,"Cu 2/0.40, PEILI, PE","000000015020708460","",2,"WESS P131:O145","000000000200086774","000000004223848637","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223848953","","",1,"COPPER","CSS",13.2,"Cu 2/0.40, PEILI, PE","000000015020708423","",2,"WESS P131:O180","000000000200086360","000000004223848819","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223849143","","",1,"COPPER","CSS",6.9,"Cu 2/0.40, PEILI, PE","000000004223275752","",2,"WESS P131:O83","000000000200348165","000000004223848998","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223849334","","",1,"COPPER","CSS",6.8,"Cu 2/0.40, PEILI, PE","000000004223275791","",2,"WESS P131:O59","000000000200348177","000000004223849193","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223849537","","",1,"COPPER","CSS",6.8,"Cu 2/0.40, PEILI, PE","000000015020711417","",2,"WESS P131:O81","000000000200348202","000000004223849381","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223849725","","",1,"COPPER","CSS",6.8,"Cu 2/0.40, PEILI, PE","000000015020711418","",2,"WESS P131:O82","000000000200348202","000000004223849578","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223850104","","",1,"COPPER","CSS",6.7,"Cu 2/0.40, PEILI, PE","000000015020711424","",2,"WESS P131:O99, WESS P131:O99","000000000200348229","000000004223849960","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223850290","","",1,"COPPER","CSS",10.0,"Cu 2/0.40, PEILI, PE","000000004223313641","",2,"WESS P131:O74","000000012503606859","000000004223850148","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223850481","","",1,"COPPER","CSS",6.8,"Cu 2/0.40, PEILI, PE","000000015020711426","",2,"WESS P131:O91","000000000200348247","000000004223850337","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223850664","","",1,"COPPER","CSS",6.8,"Cu 2/0.40, PEILI, PE","000000004223275980","",2,"WESS P131:O292-293","000000000200348260","000000004223850521","INSERVICE","TELSTRA","","","","","","","N","N"
"000000004223850860","","",1,"COPPER","CSS",6.8,"Cu 2/0.40, PEILI, PE","000000004223313486","",2,"WESS P131:O291","000000012503606832","000000004223850709","INSERVICE","TELSTRA","","","","","","","N","N"
